827,"TOYOTA ESPAÑA S.L.U.",2021-06-01
828,"CENTRO DE SERVICIOS DYALF SIGLO XXI SL",2021-06-01
829,"CARPINTERÍA VACILOTTO Y JUNG. SL",2021-06-01
830,"ABANICO LAIA",2021-06-01
831,"GRUPO BC DE ASESORIA",2021-06-01
832,"Mª SOL BEAMUD",2021-06-01
833,"GABINETE ALMOFIN",2021-06-01
834,"SATRES TOYS",2021-06-01
835,"REO. TECN HOGAR",2021-06-01
836,"SIDERTIA SOLUTIONS SL",2021-06-01
837,"FUND. INST. SAN JOSÉ",2021-06-01
838,"COLEGIO LA SALLE LA PALOMA",2021-06-01
839,"AIRON SISTEMAS DE INFORMACIÓN",2021-06-01
840,"ADN AUDIT. CORP. SL",2021-06-01
841,"GUDNUS",2021-06-01
842,"TK ELEVADORES ESPAÑA SLU",2021-06-01
843,"GRUPO EMPRESARIAL SERRANO ASESORES SL",2021-06-01
844,"JULIÁN DAVID RAMIREZ HOYOS",2021-06-01
845,"ASOCIACIÓN DE MALABARISTAS",2021-06-01
846,"GÉMINIS INFORMÁTICA SA",2021-06-01
847,"COLEGIO LA MILAGROSA",2021-06-01
848,"ASOCIACIÓN BIPOLAR DE MADRID",2021-06-01
849,"CENTRO DE INSTRUCCIÓN TÉCNICA DE HELICÓPTEROS S.L.",2021-06-01
850,"SANESCRI INFORMÁTICA S.L.",2021-06-01
851,"WIBREL EDUCACIÓN CENTRO S.L.",2021-06-01
852,"CENTRO ESCOLAR BALDER S.L.",2021-06-01
853,"COLEGIO Mª TERESA",2021-06-01
854,"MARLO ESCUELA INFANTIL",2021-06-01
855,"COCO EDUCACIÓN S.L.",2021-06-01
856,"NUESTRA SEÑORA ESCUELAS PÍAS ALUCHE",2021-06-01
857,"TES AMM SPAIN",2021-06-01
858,"HOSPITAL LA PAZ",2021-06-01
859,"COLEGIO SAGRADA FAMILIA",2021-06-01
860,"SUS PEQUEÑOS PASOS",2021-06-01
861,"COLEGIO AMANECER",2021-06-01
862,"CLÍNICA LA LUZ",2021-06-01
863,"IDCQ HOSPITAL QUIRÓN SUR (ALCORCÓN)",2021-06-01
864,"TECNITIA SERVICIOS TIC",2021-06-01
